N°Obs;Avez-vous déjà entendu parler des Deep Fakes ?;Comment évalueriez vous votre niveau de connaissance des Deep Fakes ?;Avez-vous déjà vu un Deep Fake sur les réseaux sociaux ?;_Sur quelles plateformes avez-vous principalement vu des Deep Fakes ? (Plusieurs choix possibles);Selon vous, à quelle fin les Deep Fakes sont-ils le plus souvent utilisés ?;Selon vous, quel est l’impact global des Deep Fakes sur la société ?;Quels domaines vous semblent les plus touchés par les deep fakes ? (Plusieurs choix possibles);Faites-vous confiance aux informations que vous trouvez sur les réseaux sociaux ?;Depuis que vous avez entendu parler des Deep Fakes, votre confiance dans les médias sociaux a-t-elle changé ?;À quelle fréquence vérifiez-vous l’authenticité d’une information avant de la partager ?;Quelles sont vos méthodes de vérification des informations en ligne ? (Plusieurs choix possibles);Avez-vous réduit la fréquence de partage d’informations sur les réseaux sociaux à cause de la méfiance liée aux Deep Fakes;Parmi les 4 photos, laquelle vous semble être une vraie photo ?;_Selon vous, laquelle vous semble être une vraie photo ?;Selon vous, quelle image est authentique ?;Parmi les 4 photos, laquelle est un Deepfakes ?;D’après vous, la personne dans cette vidéo est-elle réelle ou générée artificiellement ?;Selon vous, qui est le principal responsable de la lutte contre les deep fakes ?;Pensez-vous que les plateformes sociales devraient mettre en place des outils d’identification automatique des deep fakes ?;Seriez-vous favorable à des formations ou des campagnes de sensibilisation sur les deep fakes ?;Seriez-vous prêt(e) à suivre régulièrement des formations sur la détection des deep fakes ?;Quel est votre tranche d'âge ?;Vous êtes ...?;Quel est votre niveau d’éducation actuel ?;Quel est votre principal réseau social utilisé au quotidien ?;Clé;Date de saisie;Date de dernière modification;Date de dernier enregistrement;Temps de saisie;Langue;Progression;Dernière question saisie;Origine;Appareil utilisé pour la saisie;Campagne de diffusion
93;Oui;Bien informé(e);Oui;"X anciennement Twitter;Instagram;TikTok;YouTube";Arnaque ou fraude en ligne;Négatif;"Politique;Divertissement/Célébrités;Événements sociaux (crises, catastrophes, etc.)";Cela dépend des sources;Légèrement diminué;Parfois;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média;Analyser les commentaires et réactions d’autres utilisateurs";Beaucoup;1;3;3;4;Oui, elle est réelle;Je ne sais pas;Oui;Oui;Peu prêt(e);26-40 ans;Homme;Bac +5 et plus;YouTube;WK2J-AWNG;17/04/2025 20:40:29;;17/04/2025 20:47:46;437,0402021;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
94;Oui;Moyennement informé(e);Oui;TikTok;Désinformation (propagande, manipulation politique);Positif;"Politique;Divertissement/Célébrités;Journalisme/Actualités;Informations financières;Événements sociaux (crises, catastrophes, etc.)";Oui;Légèrement diminué;Rarement;Vérifier l’auteur et la crédibilité du média;Légèrement;1;3;3;2;Oui, elle est réelle;Les gouvernements;Oui;Oui;Pas du tout prêt(e);Moins de 18 ans;Autre / Préfère ne pas répondre;Lycée;TikTok;AKMG-7ZN9;18/04/2025 00:15:29;;18/04/2025 00:17:14;105,2638546;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
95;Oui;Bien informé(e);Oui;Facebook;Divertissement (humour, création artistique);Neutre;Divertissement/Célébrités;Cela dépend des sources;Légèrement diminué;Jamais;Rechercher d’autres sources fiables;Légèrement;1;3;3;2;Non, elle n'est pas réelle;Les gouvernements;Oui;Oui;Assez prêt(e);18-25 ans;Homme;Bac +3 / Licence;TikTok;P532-2MZP;18/04/2025 00:21:49;;18/04/2025 00:23:50;120,6542136;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
96;Oui;Pas du tout informé(e);Je ne suis pas sûr(e);Autres;Autres;Très négatif;Événements sociaux (crises, catastrophes, etc.);Non;Fortement diminué;Jamais;Je ne vérifie pas;Pas du tout;4;2;3;4;Oui, elle est réelle;Je ne sais pas;Je ne sais pas;Sans opinion;Pas du tout prêt(e);Moins de 18 ans;Femme;Collège ou moins;TikTok;DQR3-KKSB;18/04/2025 02:54:05;;18/04/2025 02:56:43;158,7204815;CHT;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
97;Non;Pas du tout informé(e);Je ne suis pas sûr(e);Autres;Autres;Très négatif;Événements sociaux (crises, catastrophes, etc.);Oui;Fortement diminué;Jamais;Je ne vérifie pas;Pas du tout;1;1;1;1;Oui, elle est réelle;Les gouvernements;Non;Non;Pas du tout prêt(e);Plus de 60 ans;Homme;Collège ou moins;Aucun;5T6R-UN2Q;18/04/2025 02:58:00;;18/04/2025 02:59:40;100,078015;CHT;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
98;Non;Pas du tout informé(e);Je ne suis pas sûr(e);Autres;Autres;Très négatif;Événements sociaux (crises, catastrophes, etc.);Oui;Fortement diminué;Jamais;Rechercher d’autres sources fiables;Pas du tout;1;1;1;1;Oui, elle est réelle;Les gouvernements;Je ne sais pas;Non;Pas du tout prêt(e);Plus de 60 ans;Autre / Préfère ne pas répondre;Collège ou moins;Aucun;5NL9-2DYR;18/04/2025 03:00:26;;18/04/2025 03:03:44;197,62189329999998;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
99;Oui;Peu informé(e);Oui;TikTok;Désinformation (propagande, manipulation politique);Négatif;"Politique;Divertissement/Célébrités;Journalisme/Actualités;Informations financières;Événements sociaux (crises, catastrophes, etc.)";Cela dépend des sources;Légèrement diminué;Parfois;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média;Analyser les commentaires et réactions d’autres utilisateurs";Légèrement;1;3;3;4;Non, elle n'est pas réelle;Les plateformes de réseaux sociaux;Oui;Oui;Assez prêt(e);41-60 ans;Femme;Bac +3 / Licence;TikTok;W5XF-EP4T;18/04/2025 03:11:06;;18/04/2025 03:14:57;231,04435270000005;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
100;Oui;Peu informé(e);Oui;Autres;Divertissement (humour, création artistique);Neutre;Divertissement/Célébrités;Cela dépend des sources;Légèrement diminué;Souvent;Vérifier l’auteur et la crédibilité du média;Légèrement;1;4;4;3;Oui, elle est réelle;Les gouvernements;Oui;Oui;Indifférent(e);41-60 ans;Homme;Bac +3 / Licence;YouTube;ALMF-P2RH;18/04/2025 03:09:03;;18/04/2025 03:15:41;397,41943109999994;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
101;Oui;Bien informé(e);Oui;Autres;Arnaque ou fraude en ligne;Très positif;Événements sociaux (crises, catastrophes, etc.);Oui;Resté stable;Souvent;Analyser les commentaires et réactions d’autres utilisateurs;Pas du tout;1;3;2;4;Oui, elle est réelle;Les plateformes de réseaux sociaux;Oui;Oui;Assez prêt(e);26-40 ans;Homme;Bac +3 / Licence;TikTok;UVJ2-DAYP;18/04/2025 03:13:20;;18/04/2025 03:17:10;230,02228559999998;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
102;Non;Pas du tout informé(e);Non;Autres;Autres;Négatif;Informations financières;Cela dépend des sources;Légèrement diminué;Jamais;Rechercher d’autres sources fiables;Légèrement;1;3;2;2;Oui, elle est réelle;Les gouvernements;Oui;Oui;Indifférent(e);41-60 ans;Femme;Bac +3 / Licence;Instagram;5NPD-UVY6;18/04/2025 03:15:35;;18/04/2025 03:17:17;102,1443729;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
103;Non;Pas du tout informé(e);Je ne suis pas sûr(e);Autres;Désinformation (propagande, manipulation politique);Neutre;"Politique;Journalisme/Actualités";Oui;Fortement diminué;Jamais;Vérifier l’auteur et la crédibilité du média;Légèrement;1;1;3;4;Oui, elle est réelle;Les médias et journalistes;Oui;Non;Pas du tout prêt(e);26-40 ans;Homme;Bac +3 / Licence;Instagram;7XQK-P7RR;18/04/2025 03:20:02;;18/04/2025 03:21:42;100,18505069999999;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
104;Oui;Moyennement informé(e);Oui;TikTok;Arnaque ou fraude en ligne;Neutre;Informations financières;Cela dépend des sources;Resté stable;Souvent;Vérifier l’auteur et la crédibilité du média;Moyennement;1;1;2;3;Oui, elle est réelle;Les utilisateurs eux-mêmes;Oui;Oui;Peu prêt(e);18-25 ans;Homme;Bac +2;Facebook;9A95-XM65;18/04/2025 03:24:58;;18/04/2025 03:27:09;130,663418;CHT;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
105;Oui;Moyennement informé(e);Oui;TikTok;Divertissement (humour, création artistique);Négatif;Divertissement/Célébrités;Cela dépend des sources;Légèrement diminué;Rarement;Vérifier l’auteur et la crédibilité du média;Moyennement;1;3;4;3;Oui, elle est réelle;Les plateformes de réseaux sociaux;Sans opinion;Sans opinion;Assez prêt(e);41-60 ans;Femme;Collège ou moins;Instagram;3NK3-WJZC;18/04/2025 03:22:43;;18/04/2025 03:27:40;296,5458078;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
106;Oui;Pas du tout informé(e);Oui;Facebook;Arnaque ou fraude en ligne;Neutre;Politique;Oui;Resté stable;Rarement;Vérifier l’auteur et la crédibilité du média;Moyennement;1;1;1;1;Oui, elle est réelle;Les utilisateurs eux-mêmes;Oui;Oui;Peu prêt(e);26-40 ans;Autre / Préfère ne pas répondre;Bac +3 / Licence;Instagram;H5YA-86MT;18/04/2025 03:27:48;;18/04/2025 03:29:17;89,6123386;EN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
107;Non;Pas du tout informé(e);Je ne suis pas sûr(e);Autres;Autres;Très négatif;Événements sociaux (crises, catastrophes, etc.);Non;Fortement diminué;Jamais;Rechercher d’autres sources fiables;Très fortement;1;2;2;1;Non, elle n'est pas réelle;Les gouvernements;Je ne sais pas;Sans opinion;Pas du tout prêt(e);Plus de 60 ans;Autre / Préfère ne pas répondre;Collège ou moins;Aucun;8WJR-6Z47;18/04/2025 03:32:23;;18/04/2025 03:34:12;108,78907969999999;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
108;Non;Peu informé(e);Oui;Autres;Désinformation (propagande, manipulation politique);Négatif;"Politique;Divertissement/Célébrités;Événements sociaux (crises, catastrophes, etc.)";Cela dépend des sources;Resté stable;Toujours;Utiliser des outils de fact-checking (ex : Décodex, Snopes);Légèrement;1;3;4;3;Oui, elle est réelle;Les gouvernements;Oui;Oui;Assez prêt(e);41-60 ans;Homme;Bac +3 / Licence;TikTok;GRQU-D2P6;18/04/2025 03:31:13;;18/04/2025 03:37:39;386,37421099999995;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
109;Oui;Peu informé(e);Non;Facebook;Autres;Très négatif;Politique;Oui;Légèrement diminué;Rarement;Vérifier l’auteur et la crédibilité du média;Beaucoup;1;1;1;1;Oui, elle est réelle;Les gouvernements;Oui;Oui;Indifférent(e);26-40 ans;Femme;Bac +2;Facebook;95YS-6VKB;18/04/2025 03:41:18;;18/04/2025 03:42:40;81,39122019999999;IT;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
110;Oui;Moyennement informé(e);Oui;"Facebook;Autres";Divertissement (humour, création artistique);Positif;Journalisme/Actualités;Cela dépend des sources;Légèrement diminué;Rarement;Vérifier l’auteur et la crédibilité du média;Légèrement;1;3;1;4;Non, elle n'est pas réelle;Les gouvernements;Oui;Oui;Assez prêt(e);41-60 ans;Homme;Collège ou moins;Aucun;4X2V-VWJ3;18/04/2025 03:39:14;;18/04/2025 03:44:03;288,5349273;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
111;Non;Peu informé(e);Non;Autres;Arnaque ou fraude en ligne;Très négatif;Informations financières;Non;Fortement diminué;Rarement;Je ne vérifie pas;Moyennement;1;3;2;4;Oui, elle est réelle;Les gouvernements;Oui;Oui;Pas du tout prêt(e);41-60 ans;Homme;Collège ou moins;Aucun;G3TD-SXJ6;18/04/2025 03:56:26;;18/04/2025 04:02:49;382,66751089999997;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
112;Oui;Moyennement informé(e);Oui;Facebook;Autres;Positif;Événements sociaux (crises, catastrophes, etc.);Oui;Légèrement augmenté;Parfois;Utiliser des outils de fact-checking (ex : Décodex, Snopes);Légèrement;1;4;4;1;Oui, elle est réelle;Les gouvernements;Je ne sais pas;Oui;Assez prêt(e);41-60 ans;Homme;Bac +3 / Licence;TikTok;4JXS-MGA4;18/04/2025 04:46:59;;18/04/2025 04:51:59;300,1758221;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
113;Oui;Peu informé(e);Oui;Autres;Autres;Neutre;Divertissement/Célébrités;Cela dépend des sources;Resté stable;Parfois;Vérifier l’auteur et la crédibilité du média;Moyennement;1;3;2;4;Oui, elle est réelle;Autres;Je ne sais pas;Sans opinion;Peu prêt(e);41-60 ans;Homme;Collège ou moins;Aucun;QPWS-8KSZ;18/04/2025 04:46:27;;18/04/2025 04:54:36;488,46565000000004;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
114;Oui;Moyennement informé(e);Oui;Autres;Arnaque ou fraude en ligne;Neutre;Événements sociaux (crises, catastrophes, etc.);Cela dépend des sources;Légèrement diminué;Souvent;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média;Analyser les commentaires et réactions d’autres utilisateurs";Moyennement;1;3;3;4;Oui, elle est réelle;Les utilisateurs eux-mêmes;Oui;Oui;Assez prêt(e);41-60 ans;Femme;Bac +3 / Licence;Aucun;P6BV-DL3S;18/04/2025 05:02:07;;18/04/2025 05:09:08;421,3538823;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
115;Oui;Moyennement informé(e);Je ne suis pas sûr(e);Autres;Arnaque ou fraude en ligne;Positif;Événements sociaux (crises, catastrophes, etc.);Cela dépend des sources;Resté stable;Rarement;Je ne vérifie pas;Moyennement;1;3;3;4;Oui, elle est réelle;Les gouvernements;Oui;Oui;Peu prêt(e);41-60 ans;Homme;Bac +2;Aucun;GN7J-E3HY;18/04/2025 05:06:53;;18/04/2025 05:15:13;499,7351309;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
116;Oui;Peu informé(e);Je ne suis pas sûr(e);Autres;Autres;Neutre;"Politique;Événements sociaux (crises, catastrophes, etc.)";Cela dépend des sources;Resté stable;Parfois;"Vérifier l’auteur et la crédibilité du média;Utiliser des outils de fact-checking (ex : Décodex, Snopes)";Légèrement;1;3;3;4;Non, elle n'est pas réelle;Je ne sais pas;Sans opinion;Sans opinion;Peu prêt(e);41-60 ans;Homme;Bac +3 / Licence;TikTok;P2DA-J8YV;18/04/2025 05:15:37;;18/04/2025 05:21:15;337,6872832;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
117;Oui;Pas du tout informé(e);Non;Autres;Arnaque ou fraude en ligne;Très négatif;"Politique;Divertissement/Célébrités;Journalisme/Actualités;Informations financières;Événements sociaux (crises, catastrophes, etc.)";Cela dépend des sources;Légèrement diminué;Rarement;Je ne vérifie pas;Moyennement;1;3;2;1;Oui, elle est réelle;Je ne sais pas;Oui;Oui;Assez prêt(e);41-60 ans;Femme;Collège ou moins;Aucun;Y8Q6-MFAQ;18/04/2025 05:07:01;;18/04/2025 05:24:34;1052,3264244999998;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
118;Non;Bien informé(e);Je ne suis pas sûr(e);YouTube;Autres;Très positif;Informations financières;Non;Resté stable;Parfois;Je ne vérifie pas;Pas du tout;1;3;2;4;Oui, elle est réelle;Autres;Non;Non;Peu prêt(e);26-40 ans;Homme;Bac +2;TikTok;LYGL-BPJM;18/04/2025 05:25:16;;18/04/2025 05:26:49;92,30465099999999;EN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
119;Oui;Moyennement informé(e);Oui;TikTok;Désinformation (propagande, manipulation politique);Positif;"Politique;Divertissement/Célébrités;Journalisme/Actualités;Événements sociaux (crises, catastrophes, etc.)";Cela dépend des sources;Légèrement diminué;Rarement;Vérifier l’auteur et la crédibilité du média;Légèrement;1;3;2;1;Oui, elle est réelle;Les médias et journalistes;Sans opinion;Sans opinion;Peu prêt(e);41-60 ans;Femme;Bac +3 / Licence;Facebook;E6Q9-BDNW;18/04/2025 06:06:01;;18/04/2025 06:09:50;228,30322329999998;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
120;Oui;Moyennement informé(e);Oui;TikTok;Arnaque ou fraude en ligne;Neutre;"Divertissement/Célébrités;Événements sociaux (crises, catastrophes, etc.)";Cela dépend des sources;Légèrement diminué;Parfois;"Utiliser des outils de fact-checking (ex : Décodex, Snopes);Analyser les commentaires et réactions d’autres utilisateurs";Moyennement;1;3;3;3;Oui, elle est réelle;Les gouvernements;Oui;Oui;Assez prêt(e);41-60 ans;Homme;Bac +3 / Licence;Aucun;7PHY-WGTS;18/04/2025 06:35:35;;18/04/2025 06:41:42;366,99801399999996;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
121;Oui;Bien informé(e);Oui;Instagram;Désinformation (propagande, manipulation politique);Neutre;Divertissement/Célébrités;Oui;Resté stable;Parfois;Analyser les commentaires et réactions d’autres utilisateurs;Légèrement;3;3;2;3;Oui, elle est réelle;Les médias et journalistes;Sans opinion;Sans opinion;Indifférent(e);26-40 ans;Homme;Bac +2;Instagram;577Z-57J8;18/04/2025 06:43:26;;18/04/2025 07:21:47;2301,7004853;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
122;Oui;Moyennement informé(e);Oui;"Facebook;Instagram;TikTok";Désinformation (propagande, manipulation politique);Positif;"Politique;Divertissement/Célébrités;Journalisme/Actualités;Informations financières;Événements sociaux (crises, catastrophes, etc.)";Cela dépend des sources;Légèrement diminué;Parfois;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média;Utiliser des outils de fact-checking (ex : Décodex, Snopes);Analyser les commentaires et réactions d’autres utilisateurs";Légèrement;1;3;3;3;Oui, elle est réelle;Les gouvernements;Sans opinion;Sans opinion;Indifférent(e);41-60 ans;Homme;Bac +3 / Licence;TikTok;QB2Q-CR2C;18/04/2025 07:22:07;;18/04/2025 07:25:15;188,5568579;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
123;Oui;Moyennement informé(e);Oui;Autres;Désinformation (propagande, manipulation politique);Négatif;Journalisme/Actualités;Cela dépend des sources;Légèrement diminué;Souvent;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média";Moyennement;1;3;3;4;Non, elle n'est pas réelle;Les plateformes de réseaux sociaux;Oui;Oui;Assez prêt(e);41-60 ans;Homme;Collège ou moins;Aucun;39YP-E9XU;18/04/2025 07:26:29;;18/04/2025 07:35:16;526,948201;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
124;Oui;Pas du tout informé(e);Oui;Facebook;Arnaque ou fraude en ligne;Très négatif;Politique;Non;Fortement augmenté;Toujours;Je ne vérifie pas;Légèrement;1;1;2;2;Oui, elle est réelle;Les gouvernements;Non;Oui;Pas du tout prêt(e);26-40 ans;Femme;Lycée;Aucun;JLP8-NJ8M;18/04/2025 07:45:57;;18/04/2025 07:47:32;94,86354060000001;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
125;Non;Pas du tout informé(e);Je ne suis pas sûr(e);Autres;Divertissement (humour, création artistique);Neutre;"Politique;Divertissement/Célébrités;Journalisme/Actualités;Événements sociaux (crises, catastrophes, etc.)";Cela dépend des sources;Resté stable;Parfois;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média;Utiliser des outils de fact-checking (ex : Décodex, Snopes)";Moyennement;1;3;2;4;Non, elle n'est pas réelle;Les utilisateurs eux-mêmes;Oui;Oui;Peu prêt(e);41-60 ans;Femme;Collège ou moins;TikTok;2P3D-2HQC;18/04/2025 08:33:36;;18/04/2025 08:38:49;312,99758110000005;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
126;Oui;Bien informé(e);Oui;"Facebook;X anciennement Twitter;Instagram;TikTok";Divertissement (humour, création artistique);Négatif;Événements sociaux (crises, catastrophes, etc.);Cela dépend des sources;Resté stable;Souvent;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média";Légèrement;1;3;2;3;Non, elle n'est pas réelle;Les utilisateurs eux-mêmes;Oui;Oui;Peu prêt(e);26-40 ans;Femme;Bac +5 et plus;X anciennement Twitter;TN5R-HKMD;18/04/2025 09:47:18;;18/04/2025 09:52:59;341,64541090000006;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
127;Oui;Pas du tout informé(e);Oui;"Facebook;X anciennement Twitter;Instagram;TikTok";Divertissement (humour, création artistique);Négatif;Divertissement/Célébrités;Cela dépend des sources;Fortement diminué;Souvent;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média";Beaucoup;1;4;3;4;Oui, elle est réelle;Les utilisateurs eux-mêmes;Oui;Non;Pas du tout prêt(e);26-40 ans;Homme;Bac +5 et plus;Instagram;A3FD-77GS;18/04/2025 10:01:07;;18/04/2025 10:12:41;693,8077341;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
128;Non;Pas du tout informé(e);Je ne suis pas sûr(e);"Facebook;Instagram;YouTube";Divertissement (humour, création artistique);Négatif;Divertissement/Célébrités;Non;Fortement diminué;Toujours;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média";Moyennement;1;1;3;4;Oui, elle est réelle;Je ne sais pas;Oui;Oui;Assez prêt(e);26-40 ans;Femme;Lycée;Instagram;2SDV-WD78;18/04/2025 09:42:02;;18/04/2025 10:14:09;1927,3456741;FR;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
129;Non;Moyennement informé(e);Oui;TikTok;Arnaque ou fraude en ligne;Négatif;"Politique;Journalisme/Actualités;Informations financières;Événements sociaux (crises, catastrophes, etc.)";Cela dépend des sources;Légèrement diminué;Rarement;"Vérifier l’auteur et la crédibilité du média;Utiliser des outils de fact-checking (ex : Décodex, Snopes);Analyser les commentaires et réactions d’autres utilisateurs";Moyennement;1;3;2;2;Non, elle n'est pas réelle;Les gouvernements;Oui;Oui;Peu prêt(e);26-40 ans;Femme;Bac +5 et plus;TikTok;ABVH-6JM5;18/04/2025 11:01:05;;18/04/2025 11:13:11;725,7285664000001;CN;Terminé;;direct;PC;950bbe41fac747d1866808dd701b735f
130;Non;Pas du tout informé(e);Non;Autres;Arnaque ou fraude en ligne;Négatif;Divertissement/Célébrités;Cela dépend des sources;Légèrement diminué;Rarement;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média";Moyennement;1;3;3;4;Non, elle n'est pas réelle;Les plateformes de réseaux sociaux;Oui;Sans opinion;Peu prêt(e);18-25 ans;Femme;Bac +3 / Licence;X anciennement Twitter;RDQC-MD9M;18/04/2025 11:10:26;;18/04/2025 11:13:46;199,8575726;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
131;Oui;Très bien informé(e);Oui;"Facebook;X anciennement Twitter;TikTok;YouTube";Divertissement (humour, création artistique);Très positif;"Politique;Divertissement/Célébrités";Cela dépend des sources;Fortement diminué;Rarement;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média;Analyser les commentaires et réactions d’autres utilisateurs";Beaucoup;1;3;4;1;Non, elle n'est pas réelle;Les plateformes de réseaux sociaux;Oui;Oui;Très prêt(e);18-25 ans;Homme;Bac +3 / Licence;X anciennement Twitter;7V75-B8CN;18/04/2025 11:01:59;;18/04/2025 11:15:39;819,6365347000001;CN;Terminé;;direct;PC;950bbe41fac747d1866808dd701b735f
132;Non;Pas du tout informé(e);Non;Autres;Désinformation (propagande, manipulation politique);Négatif;Événements sociaux (crises, catastrophes, etc.);Cela dépend des sources;Légèrement diminué;Rarement;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média";Légèrement;1;3;3;3;Oui, elle est réelle;Les gouvernements;Oui;Oui;Assez prêt(e);18-25 ans;Femme;Bac +5 et plus;TikTok;AXW9-8822;18/04/2025 11:26:12;;18/04/2025 11:31:43;331,2964806;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
133;Non;Peu informé(e);Oui;Autres;Divertissement (humour, création artistique);Négatif;"Divertissement/Célébrités;Événements sociaux (crises, catastrophes, etc.)";Non;Légèrement diminué;Souvent;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média";Légèrement;1;3;3;4;Oui, elle est réelle;Les plateformes de réseaux sociaux;Oui;Oui;Indifférent(e);18-25 ans;Femme;Bac +5 et plus;Aucun;RHTY-G4RY;18/04/2025 11:31:19;;18/04/2025 11:36:25;305,8773209;CN;Terminé;;direct;PC;950bbe41fac747d1866808dd701b735f
134;Oui;Peu informé(e);Oui;TikTok;Arnaque ou fraude en ligne;Négatif;"Divertissement/Célébrités;Informations financières;Événements sociaux (crises, catastrophes, etc.)";Cela dépend des sources;Légèrement diminué;Souvent;Vérifier l’auteur et la crédibilité du média;Légèrement;1;3;3;1;Oui, elle est réelle;Les plateformes de réseaux sociaux;Oui;Oui;Peu prêt(e);18-25 ans;Femme;Bac +5 et plus;TikTok;QG4Q-Z7TD;18/04/2025 11:35:59;;18/04/2025 11:39:00;180,9012989;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
135;Non;Pas du tout informé(e);Je ne suis pas sûr(e);TikTok;Arnaque ou fraude en ligne;Neutre;Divertissement/Célébrités;Cela dépend des sources;Légèrement diminué;Parfois;"Rechercher d’autres sources fiables;Analyser les commentaires et réactions d’autres utilisateurs";Légèrement;1;3;3;2;Non, elle n'est pas réelle;Les plateformes de réseaux sociaux;Oui;Oui;Indifférent(e);18-25 ans;Femme;Bac +3 / Licence;TikTok;LUNH-2FXK;18/04/2025 11:31:55;;18/04/2025 11:41:22;566,4080628;CN;Terminé;;direct;PC;950bbe41fac747d1866808dd701b735f
136;Oui;Moyennement informé(e);Oui;Autres;Arnaque ou fraude en ligne;Très négatif;"Divertissement/Célébrités;Journalisme/Actualités;Informations financières";Cela dépend des sources;Légèrement diminué;Rarement;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média";Moyennement;1;3;4;4;Non, elle n'est pas réelle;Les gouvernements;Oui;Oui;Assez prêt(e);41-60 ans;Femme;Bac +3 / Licence;Facebook;89HL-A8K3;18/04/2025 12:01:48;;18/04/2025 12:08:29;401,0748633;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
137;Oui;Bien informé(e);Je ne suis pas sûr(e);Autres;Désinformation (propagande, manipulation politique);Négatif;Divertissement/Célébrités;Cela dépend des sources;Légèrement diminué;Rarement;Utiliser des outils de fact-checking (ex : Décodex, Snopes);Légèrement;1;3;3;4;Oui, elle est réelle;Les gouvernements;Oui;Oui;Peu prêt(e);18-25 ans;Femme;Bac +3 / Licence;Aucun;MEFP-G8PL;18/04/2025 12:06:54;;18/04/2025 12:08:40;106,00293140000001;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
138;Non;Peu informé(e);Non;Autres;Désinformation (propagande, manipulation politique);Négatif;"Journalisme/Actualités;Événements sociaux (crises, catastrophes, etc.)";Cela dépend des sources;Légèrement diminué;Rarement;"Rechercher d’autres sources fiables;Vérifier l’auteur et la crédibilité du média";Pas du tout;1;3;3;4;Oui, elle est réelle;Les gouvernements;Oui;Oui;Assez prêt(e);18-25 ans;Femme;Bac +3 / Licence;TikTok;TH7B-55RU;18/04/2025 12:10:56;;18/04/2025 12:14:05;189,5932293;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
