N°Obs;Avez-vous déjà entendu parler des Deep Fakes ?;Comment évalueriez vous votre niveau de connaissance des Deep Fakes ?;Avez-vous déjà vu un Deep Fake sur les réseaux sociaux ?;_Sur quelles plateformes avez-vous principalement vu des Deep Fakes ? (Plusieurs choix possibles);Selon vous, à quelle fin les Deep Fakes sont-ils le plus souvent utilisés ?;Selon vous, quel est l’impact global des Deep Fakes sur la société ?;Quels domaines vous semblent les plus touchés par les deep fakes ? (Plusieurs choix possibles);Faites-vous confiance aux informations que vous trouvez sur les réseaux sociaux ?;Depuis que vous avez entendu parler des Deep Fakes, votre confiance dans les médias sociaux a-t-elle changé ?;À quelle fréquence vérifiez-vous l’authenticité d’une information avant de la partager ?;Quelles sont vos méthodes de vérification des informations en ligne ? (Plusieurs choix possibles);Avez-vous réduit la fréquence de partage d’informations sur les réseaux sociaux à cause de la méfiance liée aux Deep Fakes;Parmi les 4 photos, laquelle vous semble être une vraie photo ?;_Selon vous, laquelle vous semble être une vraie photo ?;Selon vous, quelle image est authentique ?;Parmi les 4 photos, laquelle est un Deepfakes ?;D’après vous, la personne dans cette vidéo est-elle réelle ou générée artificiellement ?;Selon vous, qui est le principal responsable de la lutte contre les deep fakes ?;Pensez-vous que les plateformes sociales devraient mettre en place des outils d’identification automatique des deep fakes ?;Seriez-vous favorable à des formations ou des campagnes de sensibilisation sur les deep fakes ?;Seriez-vous prêt(e) à suivre régulièrement des formations sur la détection des deep fakes ?;Quel est votre tranche d'âge ?;Vous êtes ...?;Quel est votre niveau d’éducation actuel ?;Quel est votre principal réseau social utilisé au quotidien ?;Clé;Date de saisie;Date de dernière modification;Date de dernier enregistrement;Temps de saisie;Langue;Progression;Dernière question saisie;Origine;Appareil utilisé pour la saisie;Campagne de diffusion
73;Non;Peu informé(e);Je ne suis pas sûr(e);"TikTok;Autres";Autres;Négatif;"Divertissement/Célébrités;Journalisme/Actualités";Oui;Légèrement diminué;Rarement;Je ne vérifie pas;Légèrement;1;3;3;3;Oui, elle est réelle;Les plateformes de réseaux sociaux;Non;Non;Pas du tout prêt(e);Plus de 60 ans;Femme;Bac +3 / Licence;TikTok;J5K6-SSDB;17/04/2025 14:17:57;;17/04/2025 14:20:15;138,5125474;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
74;Oui;Bien informé(e);Oui;Facebook;Divertissement (humour, création artistique);Positif;Divertissement/Célébrités;Oui;Légèrement diminué;Jamais;Rechercher d’autres sources fiables;Légèrement;1;1;3;4;Oui, elle est réelle;Les gouvernements;Oui;Oui;Assez prêt(e);18-25 ans;Femme;Bac +2;Instagram;XEFT-ML55;17/04/2025 14:21:26;;17/04/2025 14:23:10;104,5005118;CN;Terminé;;direct;Tablette;950bbe41fac747d1866808dd701b735f
75;Oui;Moyennement informé(e);Oui;"Facebook;TikTok";Divertissement (humour, création artistique);Positif;Divertissement/Célébrités;Cela dépend des sources;Légèrement diminué;Parfois;Utiliser des outils de fact-checking (ex : Décodex, Snopes);Moyennement;1;3;2;4;Oui, elle est réelle;Les utilisateurs eux-mêmes;Oui;Oui;Assez prêt(e);Plus de 60 ans;Homme;Bac +3 / Licence;Instagram;KGXX-Q2S3;17/04/2025 14:10:00;;17/04/2025 14:24:04;843,4971664;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
76;Non;Moyennement informé(e);Je ne suis pas sûr(e);"X anciennement Twitter;Instagram;TikTok";Désinformation (propagande, manipulation politique);Neutre;Journalisme/Actualités;Non;Fortement diminué;Parfois;Vérifier l’auteur et la crédibilité du média;Pas du tout;1;2;3;3;Non, elle n'est pas réelle;Les plateformes de réseaux sociaux;Non;Non;Assez prêt(e);26-40 ans;Autre / Préfère ne pas répondre;Bac +2;Instagram;65PE-TLTN;17/04/2025 14:35:17;;17/04/2025 14:36:55;98,13026409999999;DE;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
77;Oui;Moyennement informé(e);Oui;"Facebook;TikTok;Autres";Divertissement (humour, création artistique);Neutre;Événements sociaux (crises, catastrophes, etc.);Cela dépend des sources;Fortement diminué;Parfois;Analyser les commentaires et réactions d’autres utilisateurs;Moyennement;1;2;2;2;Non, elle n'est pas réelle;Les utilisateurs eux-mêmes;Non;Non;Peu prêt(e);18-25 ans;Autre / Préfère ne pas répondre;Bac +2;Instagram;ENXD-PQ3K;17/04/2025 14:37:18;;17/04/2025 14:40:06;167,9869622;CHT;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
78;Oui;Bien informé(e);Je ne suis pas sûr(e);YouTube;Arnaque ou fraude en ligne;Positif;Événements sociaux (crises, catastrophes, etc.);Oui;Légèrement augmenté;Souvent;Analyser les commentaires et réactions d’autres utilisateurs;Légèrement;1;1;1;1;Non, elle n'est pas réelle;Les gouvernements;Non;Non;Indifférent(e);Plus de 60 ans;Homme;Collège ou moins;Aucun;8SCM-7FN4;17/04/2025 14:40:18;;17/04/2025 14:42:06;107,5748992;IT;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
79;Oui;Moyennement informé(e);Oui;"Facebook;Autres";Désinformation (propagande, manipulation politique);Neutre;"Divertissement/Célébrités;Informations financières";Cela dépend des sources;Resté stable;Parfois;Vérifier l’auteur et la crédibilité du média;Moyennement;1;1;3;4;Oui, elle est réelle;Les gouvernements;Oui;Oui;Assez prêt(e);41-60 ans;Femme;Bac +3 / Licence;Aucun;CVD3-BY3J;17/04/2025 14:27:33;;17/04/2025 14:57:07;1773,634368;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
80;Oui;Moyennement informé(e);Oui;Autres;Arnaque ou fraude en ligne;Très négatif;Événements sociaux (crises, catastrophes, etc.);Cela dépend des sources;Légèrement diminué;Parfois;Je ne vérifie pas;Pas du tout;1;3;3;4;Oui, elle est réelle;Je ne sais pas;Oui;Non;Indifférent(e);Plus de 60 ans;Autre / Préfère ne pas répondre;Collège ou moins;Aucun;EXQM-VB8Z;17/04/2025 14:45:40;;17/04/2025 15:04:54;1154,8222847999998;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
81;Oui;Moyennement informé(e);Oui;"TikTok;Autres";Divertissement (humour, création artistique);Neutre;"Divertissement/Célébrités;Événements sociaux (crises, catastrophes, etc.)";Cela dépend des sources;Légèrement diminué;Parfois;"Vérifier l’auteur et la crédibilité du média;Analyser les commentaires et réactions d’autres utilisateurs";Moyennement;1;3;3;2;Oui, elle est réelle;Les plateformes de réseaux sociaux;Oui;Oui;Peu prêt(e);41-60 ans;Femme;Bac +3 / Licence;TikTok;7HDA-5XBA;17/04/2025 14:57:55;;17/04/2025 15:06:14;499,50275360000006;CN;Terminé;;direct;Smartphone;950bbe41fac747d1866808dd701b735f
82;Oui;Bien informé(e);Oui;"Facebook;TikTok;Autres";Divertissement (humour, création artistique);Neutre;"Politique;Divertissement/Célébrités;Informations financières";Cela dépend des sources;Resté stable;Parfois;Vérifier l’auteur et la crédibilité du média;Légèrement;1;3;4;3;Oui, elle est réelle;Les gouvernements;Oui;Oui;Assez prêt(e);26-40 ans;Femme;Bac +3 / Licence;YouTube;53MV-FX5W;17/04/2025 15:55:12;;17/04/2025 15:56:44;91,74973980000001;CN;Terminé;;direct;Tablette;950bbe41fac747d1866808dd701b735f
